totalMinutesPlayed,avgMinutesPlayed,totalFieldGoalsMade,avgFieldGoalsMade,sdFieldGoalsMade,totalFieldGoalsAttempted,avgFieldGoalsAttempted,avgFieldGoalPercentage,totalThreePointersMade,avgThreePointersMade,sdThreePointersMade,totalThreePointersAttempted,avgThreePointersAttempted,avgThreePointersPercentage,totalFreeThrowsAttempted,avgFreeThrowsAttempted,totalFreeThrowsMade,avgFreeThrowsMade,sdFreeThrowsMade,avgFreeThrowsPercentage,totalReboundsOffensive,avgReboundsOffensive,sdReboundsOffensive,totalReboundsDefensive,avgReboundsDefensive,sdReboundsDefensive,totalRebounds,avgRebounds,sdRebounds,totalAssists,avgAssists,sdAssists,totalSteals,avgSteals,sdSteals,totalBlocks,avgBlocks,sdBlocks,totalTurnovers,avgTurnovers,sdTurnovers,totalFouls,avgFouls,sdFouls,totalPoints,avgPoints,sdPoints,avgPlusMinusPoints,totalPlusMinusPoints,totalFieldGoalsPercentage,totalThreePointersPercentage,totalFreeThrowsPercentage
0,0.0,0,0.0,,0,0.0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0.0,,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,-2.0,-2,,,
70,10.0,6,0.8571428571428571,1.2149857925879117,19,2.7142857142857144,0.2755714285714286,2,0.2857142857142857,0.7559289460184545,14,2.0,0.04757142857142858,3,0.42857142857142855,3,0.42857142857142855,0.7867957924694432,0.2857142857142857,0,0.0,0.0,9,1.2857142857142858,1.6035674514745464,9,1.2857142857142858,1.6035674514745464,2,0.2857142857142857,0.48795003647426666,0,0.0,0.0,0,0.0,0.0,1,0.14285714285714285,0.37796447300922725,10,1.4285714285714286,0.9759000729485332,17,2.4285714285714284,3.25868802112869,-0.42857142857142855,-3,0.3157894736842105,0.14285714285714285,1.0
26,2.6,4,0.4,0.5163977794943222,9,0.9,0.25,2,0.2,0.42163702135578396,6,0.6,0.1,2,0.2,1,0.1,0.31622776601683794,0.05,1,0.1,0.31622776601683794,2,0.2,0.4216370213557839,3,0.3,0.48304589153964794,0,0.0,0.0,0,0.0,0.0,1,0.1,0.31622776601683794,0,0.0,0.0,1,0.1,0.31622776601683794,11,1.1,1.286683937707919,-1.2,-12,0.4444444444444444,0.3333333333333333,0.5
83,9.222222222222221,14,1.5555555555555556,1.3333333333333335,37,4.111111111111111,0.32555555555555554,7,0.7777777777777778,0.97182531580755,16,1.7777777777777777,0.2222222222222222,10,1.1111111111111112,9,1.0,1.7320508075688772,0.3333333333333333,3,0.3333333333333333,0.7071067811865476,6,0.6666666666666666,0.9999999999999999,9,1.0,1.224744871391589,7,0.7777777777777778,0.6666666666666666,3,0.3333333333333333,0.7071067811865476,0,0.0,0.0,7,0.7777777777777778,1.6414763002993509,5,0.5555555555555556,0.7264831572567789,44,4.888888888888889,4.833333333333333,-2.6666666666666665,-24,0.3783783783783784,0.4375,0.9
126,10.5,21,1.75,1.0552897060221726,61,5.083333333333333,0.36175,8,0.6666666666666666,0.9847319278346619,26,2.1666666666666665,0.27225,7,0.5833333333333334,4,0.3333333333333333,0.7784989441615231,0.125,3,0.25,0.4522670168666455,15,1.25,1.1381803659589922,18,1.5,1.1677484162422844,11,0.9166666666666666,1.0836246694508316,3,0.25,0.4522670168666455,1,0.08333333333333333,0.2886751345948129,9,0.75,0.9653072991634227,16,1.3333333333333333,1.3026778945578594,54,4.5,3.37099931231621,-3.1666666666666665,-38,0.3442622950819672,0.3076923076923077,0.5714285714285714
65,10.833333333333334,13,2.1666666666666665,1.3291601358251257,34,5.666666666666667,0.3543333333333334,1,0.16666666666666666,0.408248290463863,9,1.5,0.16666666666666666,5,0.8333333333333334,3,0.5,0.8366600265340756,0.25,3,0.5,0.5477225575051661,6,1.0,0.8944271909999159,9,1.5,1.224744871391589,11,1.8333333333333333,1.1690451944500122,1,0.16666666666666666,0.408248290463863,1,0.16666666666666666,0.408248290463863,6,1.0,0.8944271909999159,3,0.5,0.5477225575051661,30,5.0,3.3466401061363023,-0.5,-3,0.38235294117647056,0.1111111111111111,0.6
7,7.0,2,2.0,,3,3.0,0.667,1,1.0,,2,2.0,0.5,0,0.0,0,0.0,,0.0,0,0.0,,1,1.0,,1,1.0,,1,1.0,,0,0.0,,0,0.0,,1,1.0,,0,0.0,,5,5.0,,-1.0,-1,0.6666666666666666,0.5,
2,1.0,2,1.0,1.4142135623730951,3,1.5,0.5,0,0.0,0.0,1,0.5,0.0,2,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,2.0,2.8284271247461903,0.0,0,0.6666666666666666,0.0,0.0
1664,33.95918367346939,246,5.020408163265306,2.445146518431695,487,9.938775510204081,0.494265306122449,41,0.8367346938775511,1.0477543202708632,116,2.36734693877551,0.29997959183673467,156,3.183673469387755,110,2.2448979591836733,2.056803874187023,0.5724489795918367,133,2.7142857142857144,1.7795130420052183,182,3.7142857142857144,2.160246899469287,315,6.428571428571429,2.9790938219532466,148,3.020408163265306,1.9736788399497285,28,0.5714285714285714,0.7359800721939872,29,0.5918367346938775,0.7884152709427833,62,1.2653061224489797,1.0160280139691364,128,2.6122448979591835,1.4551106276759544,643,13.122448979591837,5.911262742501331,1.6938775510204083,83,0.5051334702258727,0.35344827586206895,0.7051282051282052
161,32.2,29,5.8,3.03315017762062,62,12.4,0.4526,8,1.6,1.140175425099138,20,4.0,0.4532,19,3.8,10,2.0,1.0,0.6258,11,2.2,0.8366600265340756,25,5.0,1.5811388300841898,36,7.2,1.7888543819998317,18,3.6,2.4083189157584592,6,1.2,1.0954451150103321,1,0.2,0.447213595499958,13,2.6,1.3416407864998738,16,3.2,1.3038404810405297,76,15.2,6.906518659932803,-15.8,-79,0.46774193548387094,0.4,0.5263157894736842
